,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,800.0,18609.80859375,5929.54345703125,15917.4169921875,13065.919921875,28984.07421875,16501.35263671875,8428.675054896632
1,rollout/ep_rew_mean,1600.0,18904.904296875,2964.771728515625,17421.208984375,6532.9599609375,23617.037109375,13888.176416015625,8742.433688888093
2,rollout/ep_rew_mean,2400.0,19028.26953125,1976.514404296875,16939.138671875,4355.306640625,22169.69140625,12893.784130859374,9112.239521730145
3,rollout/ep_rew_mean,3200.0,19633.703125,1482.3858642578125,17104.353515625,3266.47998046875,21308.517578125,12559.088012695312,9438.061635282813
4,rollout/ep_rew_mean,4000.0,19186.9609375,1185.90869140625,16923.484375,2613.18408203125,21391.814453125,12260.2705078125,9602.310462229874
5,rollout/ep_rew_mean,4800.0,18993.30078125,988.2572021484375,17386.236328125,2177.6533203125,20751.51171875,12059.391870117188,9646.580893426537
6,rollout/ep_rew_mean,5600.0,19033.544921875,847.07763671875,17509.630859375,1866.5599365234375,20429.8671875,11937.336108398438,9720.392200400118
7,rollout/ep_rew_mean,6400.0,19016.8515625,741.1929321289062,17652.177734375,1633.239990234375,20263.634765625,11861.419396972657,9792.923533152805
8,rollout/ep_rew_mean,7200.0,19503.8671875,658.838134765625,17343.6015625,1451.7689208984375,20003.78515625,11792.372192382812,9856.397187523573
9,rollout/ep_rew_mean,8000.0,19875.98046875,592.954345703125,17484.2421875,1306.592041015625,20343.408203125,11920.63544921875,10076.688590952634
10,rollout/ep_rew_mean,8800.0,19637.255859375,539.0493774414062,17492.4921875,1187.8109130859375,20589.4609375,11889.21385498047,10130.022715453468
11,rollout/ep_rew_mean,9600.0,19502.900390625,494.12860107421875,17524.3671875,1088.82666015625,20413.255859375,11804.695739746094,10109.934257694804
12,rollout/ep_rew_mean,10400.0,19779.6015625,456.11871337890625,17282.109375,1005.0707397460938,20179.544921875,11740.4890625,10113.61421567315
13,rollout/ep_rew_mean,11200.0,19823.9140625,423.538818359375,17001.244140625,933.2799682617188,19888.1484375,11614.025085449219,10052.248785236465
14,rollout/ep_rew_mean,12000.0,19742.3203125,395.3028869628906,16247.828125,871.0613403320312,19782.271484375,11407.756829833985,9941.32571604952
15,rollout/ep_rew_mean,12800.0,19592.80078125,370.5964660644531,15422.9638671875,816.6199951171875,19839.62890625,11208.522003173828,9848.932867561818
16,rollout/ep_rew_mean,13600.0,19538.8125,348.7966613769531,14615.73046875,768.58349609375,19616.7109375,10977.72681274414,9725.739931696491
17,rollout/ep_rew_mean,14400.0,19617.2109375,329.4190673828125,13855.134765625,725.8844604492188,19506.060546875,10806.741955566406,9669.451756682412
18,rollout/ep_rew_mean,15200.0,19537.357421875,312.08123779296875,13144.337890625,687.6799926757812,19443.8984375,10625.07099609375,9600.218359130888
19,rollout/ep_rew_mean,16000.0,19480.490234375,296.4771728515625,12487.12109375,653.2960205078125,19327.953125,10449.067529296875,9533.979995641315
20,rollout/ep_rew_mean,16800.0,19395.705078125,282.35919189453125,11892.49609375,622.1866455078125,19255.193359375,10289.588073730469,9479.926679887827
