,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,2048.0,13561.1240234375,17595.861328125,15532.7021484375,15343.755859375,19012.11328125,16209.111328125,2121.20848475402
1,rollout/ep_rew_mean,4096.0,13554.994140625,16796.609375,14681.291015625,15763.744140625,19438.0625,16046.940234375,2248.149638656571
2,rollout/ep_rew_mean,6144.0,13426.1953125,16967.48828125,15589.1044921875,16656.341796875,19835.482421875,16494.9224609375,2326.2796485605836
3,rollout/ep_rew_mean,8192.0,13151.4765625,17337.765625,16154.625,17010.09375,19573.076171875,16645.407421875,2325.5118009159164
4,rollout/ep_rew_mean,10240.0,13555.4306640625,17724.115234375,16761.8671875,16965.931640625,19421.75,16885.8189453125,2135.8227436099883
5,rollout/ep_rew_mean,12288.0,14064.7998046875,18251.46875,16985.955078125,17028.1171875,19540.25390625,17174.1189453125,2030.0163132033683
6,rollout/ep_rew_mean,14336.0,14315.87890625,18781.595703125,16627.240234375,17399.927734375,19280.443359375,17281.0171875,1967.425344699499
7,rollout/ep_rew_mean,16384.0,15290.0302734375,19290.619140625,16502.943359375,17511.951171875,20392.3671875,17797.5822265625,2062.0111489584706
8,rollout/ep_rew_mean,18432.0,15761.28125,19442.91015625,16663.35546875,17274.791015625,20909.671875,18010.401953125,2113.7672206023335
9,rollout/ep_rew_mean,20480.0,15835.501953125,19848.05078125,16755.150390625,17126.927734375,21399.45703125,18193.017578125,2333.5744254232577
10,rollout/ep_rew_mean,22528.0,16960.3984375,20366.576171875,17204.5078125,18363.416015625,21780.826171875,18935.144921875,2083.776596963865
11,rollout/ep_rew_mean,24576.0,17657.658203125,20600.734375,17988.48828125,18601.400390625,22081.033203125,19385.862890625,1890.408976363185
12,rollout/ep_rew_mean,26624.0,18479.173828125,21136.001953125,18543.59375,18990.37109375,22124.47265625,19854.72265625,1669.7109712504937
13,rollout/ep_rew_mean,28672.0,19285.599609375,21975.2265625,18884.96875,19177.24609375,22715.08203125,20407.624609375,1793.9473163691941
14,rollout/ep_rew_mean,30720.0,19648.3203125,22094.06640625,18789.623046875,20302.9375,23679.9765625,20902.984765625,1970.4629075259468
15,rollout/ep_rew_mean,32768.0,20149.34375,23162.283203125,19342.546875,20733.1953125,24528.87890625,21583.249609375,2177.699824919665
16,rollout/ep_rew_mean,34816.0,21038.34765625,23652.34765625,20198.451171875,21460.283203125,25595.875,22389.0609375,2200.305396898656
17,rollout/ep_rew_mean,36864.0,21577.232421875,24406.966796875,20718.599609375,22258.255859375,26118.525390625,23015.916015625,2206.9622377588234
18,rollout/ep_rew_mean,38912.0,21737.947265625,24867.515625,20922.349609375,23286.40625,26760.392578125,23514.922265625,2360.819722209931
19,rollout/ep_rew_mean,40960.0,22138.279296875,25839.443359375,22068.19140625,24106.986328125,27203.427734375,24271.265625,2263.1234179179664
20,rollout/ep_rew_mean,43008.0,22887.73046875,27007.6953125,22980.974609375,24201.400390625,27717.892578125,24959.138671875,2268.553489016193
21,rollout/ep_rew_mean,45056.0,23400.189453125,28978.16015625,24018.96484375,24663.583984375,28762.125,25964.6046875,2690.8191702493273
22,rollout/ep_rew_mean,47104.0,24168.029296875,29503.728515625,24958.71875,25691.388671875,29823.99609375,26829.172265625,2645.6119640060356
23,rollout/ep_rew_mean,49152.0,24989.06640625,30453.404296875,25643.935546875,26331.12890625,30544.005859375,27592.308203125,2695.458541281475
24,rollout/ep_rew_mean,51200.0,26635.7890625,32247.06640625,26463.626953125,27317.52734375,30639.3125,28660.664453125,2622.424378381877
25,rollout/ep_rew_mean,53248.0,27289.919921875,32629.6015625,27442.6328125,28745.4453125,31704.986328125,29562.5171875,2465.9377083531
26,rollout/ep_rew_mean,55296.0,28410.552734375,33839.34765625,28828.857421875,29992.72265625,32438.974609375,30702.091015625,2351.7280406040627
27,rollout/ep_rew_mean,57344.0,29063.560546875,35013.8203125,29960.443359375,30763.572265625,33351.42578125,31630.564453125,2476.8060529797694
28,rollout/ep_rew_mean,59392.0,30266.013671875,35704.23828125,31325.009765625,31346.328125,33609.984375,32450.31484375,2190.2694447433983
29,rollout/ep_rew_mean,61440.0,31066.322265625,37443.23828125,32201.720703125,32859.6328125,35440.2734375,33802.2375,2592.0763012142315
30,rollout/ep_rew_mean,63488.0,31659.26953125,38295.265625,33171.4453125,33715.59375,37560.140625,34880.34296875,2893.7561342697873
31,rollout/ep_rew_mean,65536.0,32713.884765625,39130.09765625,33381.0703125,35117.98046875,38390.3515625,35746.676953125,2899.385003530255
32,rollout/ep_rew_mean,67584.0,33726.23046875,39868.46875,34238.69140625,35711.171875,39548.75,36618.6625,2915.5024488561476
33,rollout/ep_rew_mean,69632.0,35166.88671875,40934.6328125,35222.30859375,37266.41796875,40445.24609375,37807.0984375,2769.7240904307464
34,rollout/ep_rew_mean,71680.0,35247.1953125,42285.1640625,36600.18359375,38237.95703125,41786.79296875,38831.45859375,3116.0816032544085
35,rollout/ep_rew_mean,73728.0,35622.734375,44028.640625,37132.2734375,38889.58203125,42627.33984375,39660.1140625,3576.750820989735
36,rollout/ep_rew_mean,75776.0,35554.875,44564.30859375,37346.38671875,39948.296875,42874.48828125,40057.67109375,3737.7278849569234
37,rollout/ep_rew_mean,77824.0,35809.5390625,46245.44140625,37581.20703125,40568.4765625,43139.57421875,40668.84765625,4194.0245169194495
38,rollout/ep_rew_mean,79872.0,36411.33203125,47305.90234375,38370.2734375,41851.59375,44634.15234375,41714.65078125,4447.313412802682
39,rollout/ep_rew_mean,81920.0,36893.19921875,47715.30859375,39030.734375,42666.1171875,44614.3828125,42183.9484375,4320.596872900193
40,rollout/ep_rew_mean,83968.0,37452.46875,48636.83984375,39165.734375,43999.1953125,45048.234375,42860.49453125,4537.262548202069
41,rollout/ep_rew_mean,86016.0,38442.34765625,49374.9921875,40142.8359375,45230.94140625,45884.3515625,43815.09375,4459.5627909299865
42,rollout/ep_rew_mean,88064.0,37520.1015625,50932.578125,41209.1484375,46085.8203125,46490.2421875,44447.578125,5181.430721866354
43,rollout/ep_rew_mean,90112.0,37894.40234375,52498.06640625,41723.98828125,46648.4453125,47937.1796875,45340.41640625,5661.443068758455
44,rollout/ep_rew_mean,92160.0,38506.5546875,52981.98046875,42583.74609375,46842.9921875,49169.90234375,46017.03515625,5641.986139289926
45,rollout/ep_rew_mean,94208.0,39435.4453125,53519.8125,42651.84765625,47115.15234375,50282.01171875,46600.85390625,5670.651294677207
46,rollout/ep_rew_mean,96256.0,39873.1484375,55012.30078125,43557.8984375,47743.203125,50909.390625,47419.18828125,5953.867063469213
47,rollout/ep_rew_mean,98304.0,40390.63671875,54922.02734375,43400.69921875,49690.6640625,52043.14453125,48089.434375,6044.332260591589
48,rollout/ep_rew_mean,100352.0,41063.1015625,55558.390625,44823.921875,51280.0078125,52774.546875,49099.99375,5975.8287895868325
49,rollout/ep_rew_mean,102400.0,40699.12109375,55274.91796875,45727.75,51391.21484375,53130.44140625,49244.6890625,5946.971858563125
50,rollout/ep_rew_mean,104448.0,41238.11328125,55698.53515625,46724.15234375,52747.34375,53140.46484375,49909.721875,5859.710020180385
51,rollout/ep_rew_mean,106496.0,41741.51953125,56002.3125,47204.4375,53110.08984375,53627.7734375,50337.2265625,5794.614199183958
52,rollout/ep_rew_mean,108544.0,42334.65625,55728.76953125,47867.375,54104.0703125,54118.5703125,50830.68828125,5623.170457677484
53,rollout/ep_rew_mean,110592.0,42674.84375,55270.1875,48635.05859375,54302.65234375,55073.0546875,51191.159375,5487.491530400233
54,rollout/ep_rew_mean,112640.0,43634.3203125,56013.41015625,48986.96875,55516.2421875,55781.71484375,51986.53125,5518.9408919211655
55,rollout/ep_rew_mean,114688.0,44597.5859375,55683.55859375,50594.4140625,56374.86328125,57460.69921875,52942.22421875,5358.631868053546
56,rollout/ep_rew_mean,116736.0,45362.89453125,56298.01171875,51942.59375,56246.67578125,59294.96875,53829.02890625,5409.516146810268
57,rollout/ep_rew_mean,118784.0,46495.51953125,57999.80078125,54153.28125,56842.87890625,60046.51171875,55107.5984375,5264.207477958102
