,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,500.0,65494.453125,40333.91015625,46652.26953125,56902.20703125,71927.8125,56262.13046875,13010.73309522588
1,rollout/ep_rew_mean,1000.0,69488.84375,40127.53125,43921.16015625,71883.8359375,100243.6953125,65133.01328125,24354.27941307189
2,rollout/ep_rew_mean,1500.0,76928.2890625,47121.015625,52262.69140625,82446.109375,111145.7890625,73980.77890625,25761.938126638255
3,rollout/ep_rew_mean,2000.0,86913.71875,71064.78125,58469.9453125,99567.6015625,117599.3203125,86723.0734375,23247.48498521846
4,rollout/ep_rew_mean,2500.0,94252.0078125,86930.9609375,63356.96875,107747.4453125,120833.8046875,94624.2375,21772.271067450867
5,rollout/ep_rew_mean,3000.0,102437.4453125,102611.890625,73593.359375,115688.5390625,124005.53125,103667.353125,19139.110318790747
6,rollout/ep_rew_mean,3500.0,104541.0078125,113294.1015625,81228.5,121799.2421875,127076.7890625,109587.928125,18016.94159527929
7,rollout/ep_rew_mean,4000.0,108765.453125,128426.6484375,90975.0703125,128271.4609375,131498.375,117587.4015625,17401.12444871156
8,rollout/ep_rew_mean,4500.0,110946.578125,137418.734375,98066.0390625,129476.265625,133840.09375,121949.5421875,16798.95553882328
9,rollout/ep_rew_mean,5000.0,115870.703125,146755.734375,106730.0625,132574.296875,138610.640625,128108.2875,16467.839197520738
10,rollout/ep_rew_mean,5500.0,119698.8671875,149806.765625,110908.296875,134326.5,136777.40625,130303.5671875,15224.20361216381
11,rollout/ep_rew_mean,6000.0,127602.6328125,152981.984375,116167.09375,137723.0625,134512.21875,133797.3984375,13538.582907073911
12,rollout/ep_rew_mean,6500.0,132157.390625,153549.875,119070.8671875,139325.59375,132728.890625,135366.5234375,12541.058215565334
13,rollout/ep_rew_mean,7000.0,137793.46875,152012.046875,123038.1015625,142466.59375,132409.484375,137543.9390625,10844.386617345286
14,rollout/ep_rew_mean,7500.0,141497.34375,151980.609375,126215.8828125,143425.6875,132775.984375,139179.1015625,9954.035504698402
15,rollout/ep_rew_mean,8000.0,146951.65625,151961.046875,130174.953125,145146.65625,134091.421875,141665.146875,9157.776865843858
16,rollout/ep_rew_mean,8500.0,149953.75,151175.15625,131152.640625,146407.46875,134398.546875,142617.5125,9225.130061960264
17,rollout/ep_rew_mean,9000.0,154270.78125,151536.28125,132370.640625,147929.953125,136733.578125,144568.246875,9541.454002310038
18,rollout/ep_rew_mean,9500.0,157566.3125,151999.25,133481.671875,149549.484375,138669.359375,146253.215625,9905.751675073314
19,rollout/ep_rew_mean,10000.0,161484.109375,152069.84375,136020.8125,151210.921875,140675.234375,148292.184375,10067.535934255433
20,rollout/ep_rew_mean,10500.0,163370.71875,151875.78125,137521.203125,151613.03125,141525.0,149181.146875,10112.98594937257
21,rollout/ep_rew_mean,11000.0,165385.515625,152164.953125,139342.53125,153365.59375,142134.890625,150478.696875,10332.281530691456
22,rollout/ep_rew_mean,11500.0,166303.65625,152247.390625,141422.765625,154926.453125,142606.390625,151501.33125,10150.053492900432
23,rollout/ep_rew_mean,12000.0,168164.40625,151954.6875,142866.828125,155914.5625,142412.25,152262.546875,10625.547120701965
24,rollout/ep_rew_mean,12500.0,169682.25,152521.375,143203.96875,156242.703125,142469.15625,152823.890625,11132.693926989166
25,rollout/ep_rew_mean,13000.0,170993.1875,153164.640625,144247.296875,156871.84375,143720.875,153799.56875,11161.188319351322
26,rollout/ep_rew_mean,13500.0,171423.046875,153659.984375,144950.515625,157303.953125,144118.046875,154291.109375,11109.868596915207
27,rollout/ep_rew_mean,14000.0,172438.203125,154213.4375,146042.796875,157919.859375,144484.625,155019.784375,11225.393419281632
