,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,800.0,14102.888671875,784.5858154296875,5454.94873046875,706.6783447265625,34507.546875,11111.3296875,14170.616235160256
1,rollout/ep_rew_mean,1600.0,8451.4443359375,392.29290771484375,2727.474365234375,353.33917236328125,33516.2734375,9088.16484375,14049.125008999948
2,rollout/ep_rew_mean,2400.0,5709.29638671875,261.5285949707031,1818.316162109375,235.5594482421875,32394.181640625,8083.776446533203,13772.000765453548
3,rollout/ep_rew_mean,3200.0,4281.97216796875,196.14645385742188,1363.7371826171875,176.66958618164062,31589.38671875,7521.582421875,13558.051970563454
4,rollout/ep_rew_mean,4000.0,3425.577880859375,156.9171600341797,1090.98974609375,141.33567810058594,30536.509765625,7070.2660461425785,13186.210221883883
5,rollout/ep_rew_mean,4800.0,2854.648193359375,130.76429748535156,909.1580810546875,117.77972412109375,30351.2578125,6872.721621704101,13172.261522255345
6,rollout/ep_rew_mean,5600.0,2446.84130859375,112.08368682861328,779.2783813476562,100.95404815673828,30776.078125,6843.047109985351,13413.123961874784
7,rollout/ep_rew_mean,6400.0,2140.986083984375,98.07322692871094,681.8685913085938,88.33479309082031,30569.693359375,6715.7912109375,13360.979396388086
8,rollout/ep_rew_mean,7200.0,1903.0987548828125,87.17620086669922,606.1054077148438,78.51981353759766,30439.7265625,6622.925347900391,13334.768146350294
9,rollout/ep_rew_mean,8000.0,1712.7889404296875,78.45858001708984,545.494873046875,70.66783905029297,30488.25390625,6579.132827758789,13382.367529035499
10,rollout/ep_rew_mean,8800.0,1557.080810546875,71.32598114013672,495.9044189453125,64.24348449707031,30159.77734375,6469.666407775879,13257.157394679736
11,rollout/ep_rew_mean,9600.0,1427.3240966796875,65.38214874267578,454.57904052734375,58.889862060546875,30136.044921875,6428.44401397705,13264.693554237861
12,rollout/ep_rew_mean,10400.0,1317.5299072265625,60.35275650024414,419.6114196777344,54.3598747253418,30064.041015625,6383.178994750977,13248.02106019225
13,rollout/ep_rew_mean,11200.0,1223.420654296875,56.04184341430664,389.6391906738281,50.47702407836914,30341.611328125,6412.238008117676,13385.474048737506
14,rollout/ep_rew_mean,12000.0,1141.8592529296875,52.305721282958984,363.6632385253906,47.11188888549805,30280.50390625,6377.088801574707,13369.869649922573
15,rollout/ep_rew_mean,12800.0,1070.4930419921875,49.03661346435547,340.9342956542969,44.167396545410156,30352.033203125,6371.33291015625,13412.149820206738
16,rollout/ep_rew_mean,13600.0,1007.5228881835938,46.15210723876953,320.87933349609375,41.569313049316406,30460.73828125,6375.372384643555,13469.888969160991
17,rollout/ep_rew_mean,14400.0,951.5493774414062,43.58810043334961,303.0527038574219,39.25990676879883,30290.697265625,6325.629470825195,13402.043950911779
18,rollout/ep_rew_mean,15200.0,901.4678344726562,41.29399108886719,287.1025390625,37.19359588623047,30293.818359375,6312.175263977051,13410.777463077851
19,rollout/ep_rew_mean,16000.0,856.3944702148438,39.22929000854492,272.7474365234375,35.333919525146484,30234.126953125,6287.5664138793945,13390.720347023595
20,rollout/ep_rew_mean,16800.0,815.61376953125,37.361228942871094,259.75946044921875,33.65135192871094,30296.787109375,6288.6345840454105,13424.752451775303
21,rollout/ep_rew_mean,17600.0,778.5404052734375,35.66299057006836,247.95220947265625,32.121742248535156,30471.93359375,6313.24218826294,13508.548325223937
22,rollout/ep_rew_mean,18400.0,744.6907958984375,34.1124267578125,237.1716766357422,30.72514533996582,30660.111328125,6341.362274551391,13597.71094380788
23,rollout/ep_rew_mean,19200.0,713.6620483398438,32.69107437133789,227.28952026367188,29.444931030273438,30640.939453125,6328.805405426026,13593.759515186492
24,rollout/ep_rew_mean,20000.0,685.1155395507812,31.383432388305664,218.19793701171875,28.267133712768555,30714.302734375,6335.453355407715,13630.822828786128
25,rollout/ep_rew_mean,20800.0,121.0,0.0,0.0,0.0,30505.0,6125.2,13628.82323239978
26,rollout/ep_rew_mean,21600.0,9.0,0.0,0.0,0.0,30461.0,6094.0,13621.567659414242
27,rollout/ep_rew_mean,22400.0,0.0,0.0,0.0,0.0,30438.0,6087.6,13612.28741982772
28,rollout/ep_rew_mean,23200.0,0.0,0.0,0.0,0.0,30393.0,6078.6,13592.162808030222
