,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,2048.0,19673.71875,19096.951171875,18464.8515625,19547.671875,16018.33984375,18560.306640625,1497.7709147789103
1,rollout/ep_rew_mean,4096.0,19155.314453125,18036.13671875,17317.82421875,19143.552734375,16577.82421875,18046.13046875,1131.4899306777652
2,rollout/ep_rew_mean,6144.0,20151.400390625,19228.7421875,18818.173828125,21498.35546875,18038.185546875,19546.971484375,1330.6093220333894
3,rollout/ep_rew_mean,8192.0,23347.404296875,20991.73046875,20000.87890625,23174.474609375,20234.591796875,21549.816015625,1605.562173130439
4,rollout/ep_rew_mean,10240.0,25322.212890625,24178.64453125,22814.197265625,26080.767578125,22379.796875,24155.123828125,1582.7684441909728
5,rollout/ep_rew_mean,12288.0,27402.068359375,27097.89453125,24913.033203125,29008.369140625,25014.1171875,26687.096484375,1733.0902180543824
6,rollout/ep_rew_mean,14336.0,29661.138671875,29744.07421875,27003.16796875,32431.22265625,27831.3828125,29334.197265625,2095.1494537031626
7,rollout/ep_rew_mean,16384.0,32512.068359375,32782.484375,29713.8125,36661.203125,30937.107421875,32521.33515625,2626.7257454091164
8,rollout/ep_rew_mean,18432.0,34901.46484375,35871.640625,32797.66796875,41010.60546875,34515.0390625,35819.28359375,3107.4977919930234
9,rollout/ep_rew_mean,20480.0,37056.1875,39271.12109375,35729.609375,45111.40625,38244.81640625,39082.628125,3620.525517805512
10,rollout/ep_rew_mean,22528.0,40970.81640625,44670.26171875,40996.625,52215.6875,43439.03125,44458.484375,4620.7854535897895
11,rollout/ep_rew_mean,24576.0,45494.1015625,50608.63671875,45834.9765625,58971.26171875,49425.28125,50066.8515625,5450.0567068212085
12,rollout/ep_rew_mean,26624.0,50306.75390625,57317.28125,51265.31640625,66268.015625,55701.40234375,56171.75390625,6362.769014401829
13,rollout/ep_rew_mean,28672.0,53809.2578125,64110.234375,56897.203125,72921.609375,61855.30859375,61918.72265625,7362.90261305161
14,rollout/ep_rew_mean,30720.0,58641.0703125,70131.1953125,61864.453125,79632.203125,68275.7109375,67708.9265625,8135.3709371967125
15,rollout/ep_rew_mean,32768.0,63286.34375,75070.078125,66967.1875,85894.765625,73809.546875,73005.584375,8688.575236872945
16,rollout/ep_rew_mean,34816.0,68150.078125,80692.1796875,72391.7890625,92660.3125,80786.546875,78936.18125,9407.819244554717
17,rollout/ep_rew_mean,36864.0,73156.4765625,85585.7109375,76855.4765625,98289.203125,85987.2890625,83974.83125,9737.404316621869
18,rollout/ep_rew_mean,38912.0,77637.765625,90238.7578125,80643.3125,103575.34375,91251.546875,88669.3453125,10215.583231419969
19,rollout/ep_rew_mean,40960.0,83391.3828125,94090.6640625,84415.6484375,108598.578125,95837.1328125,93266.68125,10225.15931139621
20,rollout/ep_rew_mean,43008.0,89154.6484375,98721.953125,87796.9375,113208.078125,100988.390625,97974.0015625,10284.41398607322
21,rollout/ep_rew_mean,45056.0,93453.40625,103051.265625,90527.3671875,117801.3046875,105678.1953125,102102.3078125,10827.381307752941
22,rollout/ep_rew_mean,47104.0,97276.8828125,106260.2734375,93683.640625,122127.71875,109887.1953125,105847.1421875,11213.273339057696
23,rollout/ep_rew_mean,49152.0,101714.0,108753.234375,95486.4609375,125599.8203125,113115.8515625,108933.8734375,11491.679948422207
24,rollout/ep_rew_mean,51200.0,105953.6171875,111540.9375,97353.265625,129986.625,116784.15625,112323.7203125,12218.624790227232
25,rollout/ep_rew_mean,53248.0,109351.0859375,113638.9375,99789.53125,132404.234375,119776.859375,114992.1296875,12153.667458513353
26,rollout/ep_rew_mean,55296.0,112477.7265625,115372.1953125,102538.828125,135223.328125,121343.375,117391.090625,12066.648582971191
27,rollout/ep_rew_mean,57344.0,114437.0078125,116495.078125,105296.7421875,136913.953125,122732.8046875,119175.1171875,11721.40161448079
28,rollout/ep_rew_mean,59392.0,116966.140625,118278.5546875,107176.2265625,138039.46875,122796.1875,120651.315625,11266.508764343009
29,rollout/ep_rew_mean,61440.0,118258.359375,119405.3984375,108295.296875,139165.3125,124180.25,121860.9234375,11267.824228895466
30,rollout/ep_rew_mean,63488.0,119884.7734375,120658.1796875,111043.5,139387.359375,125325.4921875,123259.8609375,10389.447456759613
31,rollout/ep_rew_mean,65536.0,121964.0703125,121100.1484375,113139.8828125,140293.9375,125320.5390625,124363.715625,9963.32112667959
32,rollout/ep_rew_mean,67584.0,123381.578125,120620.65625,115738.3828125,141228.796875,125210.1875,125235.9203125,9626.98328657339
33,rollout/ep_rew_mean,69632.0,125384.6171875,121525.8359375,118801.375,141775.34375,126549.140625,126807.2625,8917.983293490044
