,metric,step,run_0,run_1,mean,std
0,rollout/ep_rew_mean,2048.0,20149.322265625,18673.3984375,19411.3603515625,1043.635747381996
1,rollout/ep_rew_mean,4096.0,18619.330078125,18417.48828125,18518.4091796875,142.72370329719018
2,rollout/ep_rew_mean,6144.0,20722.279296875,18753.375,19737.8271484375,1392.2255798276437
3,rollout/ep_rew_mean,8192.0,22032.833984375,20329.037109375,21180.935546875,1204.7663240769484
4,rollout/ep_rew_mean,10240.0,24505.583984375,22905.45703125,23705.5205078125,1131.4606193140564
5,rollout/ep_rew_mean,12288.0,27683.05078125,25749.42578125,26716.23828125,1367.279349771838
6,rollout/ep_rew_mean,14336.0,31245.630859375,28542.525390625,29894.078125,1911.3842072155662
7,rollout/ep_rew_mean,16384.0,34556.8046875,31858.564453125,33207.6845703125,1907.9439669969418
8,rollout/ep_rew_mean,18432.0,37717.734375,35292.19140625,36504.962890625,1715.117881262475
9,rollout/ep_rew_mean,20480.0,41197.39453125,38739.859375,39968.626953125,1737.7397739887167
10,rollout/ep_rew_mean,22528.0,47465.546875,44756.18359375,46110.865234375,1915.8091488697103
11,rollout/ep_rew_mean,24576.0,53681.3359375,50642.0703125,52161.703125,2149.0853332646707
12,rollout/ep_rew_mean,26624.0,61081.546875,58000.91796875,59541.232421875,2178.333589928672
13,rollout/ep_rew_mean,28672.0,67326.09375,64605.40625,65965.75,1923.816580739475
14,rollout/ep_rew_mean,30720.0,73101.1484375,70581.3828125,71841.265625,1781.743360438259
